1,EMP00001,Employee,Name1,emp1@store.com,+91-987000001,2025-10-18,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
2,EMP00002,Employee,Name2,emp2@store.com,+91-987000002,2024-03-17,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
3,EMP00003,Employee,Name3,emp3@store.com,+91-987000003,2025-09-16,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
4,EMP00004,Employee,Name4,emp4@store.com,+91-987000004,2025-09-03,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
5,EMP00005,Employee,Name5,emp5@store.com,+91-987000005,2025-04-20,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
6,EMP00006,Employee,Name6,emp6@store.com,+91-987000006,2025-05-17,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
7,EMP00007,Employee,Name7,emp7@store.com,+91-987000007,2025-01-30,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
8,EMP00008,Employee,Name8,emp8@store.com,+91-987000008,2025-06-27,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
9,EMP00009,Employee,Name9,emp9@store.com,+91-987000009,2023-11-27,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
10,EMP00010,Employee,Name10,emp10@store.com,+91-987000010,2024-03-18,Sales,Senior Sales,,3.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
11,EMP00011,Employee,Name11,emp11@store.com,+91-987000011,2025-08-03,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
12,EMP00012,Employee,Name12,emp12@store.com,+91-987000012,2024-03-06,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
13,EMP00013,Employee,Name13,emp13@store.com,+91-987000013,2023-05-28,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
14,EMP00014,Employee,Name14,emp14@store.com,+91-987000014,2025-09-15,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
15,EMP00015,Employee,Name15,emp15@store.com,+91-987000015,2023-09-06,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
16,EMP00016,Employee,Name16,emp16@store.com,+91-987000016,2024-06-12,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
17,EMP00017,Employee,Name17,emp17@store.com,+91-987000017,2023-09-24,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
18,EMP00018,Employee,Name18,emp18@store.com,+91-987000018,2023-12-22,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
19,EMP00019,Employee,Name19,emp19@store.com,+91-987000019,2025-10-13,Sales,Sales Associate,,2.00,t,2026-01-12 11:01:00.968426,2026-01-12 11:01:00.968426
