101,CUST000101,Samar,Bhatia,bhatia.samar@rediffmail.com,+91-7110287971,1981-06-05,Male,electronic,2024-03-16,t,15,Email,2026-01-13 02:08:03.553011,2026-01-13 02:08:03.553011
102,CUST000102,Meera,Rao,meerarao@gmail.com,+91-7851819913,1974-10-11,Female,electronic,2025-07-12,t,96,Email,2026-01-13 02:08:03.553017,2026-01-13 02:08:03.553018
103,CUST000103,Mohammed,Reddy,reddy.mohammed@yahoo.com,+91-8295287749,1989-10-19,Male,electronic,2025-04-11,t,39,Email,2026-01-13 02:08:03.553024,2026-01-13 02:08:03.553025
104,CUST000104,Sneha,Chawla,sneha.chawla@hotmail.com,+91-9841212515,1974-01-30,Female,electronic,2023-11-17,t,82,Email,2026-01-13 02:08:03.553031,2026-01-13 02:08:03.553031
105,CUST000105,Aryan,Sinha,sinha.aryan@rediffmail.com,+91-9105400301,1970-06-20,Male,electronic,2025-05-12,t,77,Email,2026-01-13 02:08:03.553037,2026-01-13 02:08:03.553038
106,CUST000106,Aayan,Agarwal,aayan.agarwal@gmail.com,+91-7756502473,1964-04-06,Male,electronic,2024-06-09,t,4,Email,2026-01-13 02:08:03.553045,2026-01-13 02:08:03.553045
107,CUST000107,Vijay,Reddy,vijay.reddy64@hotmail.com,+91-9544659112,2001-12-02,Male,electronic,2024-06-13,t,73,Email,2026-01-13 02:08:03.553051,2026-01-13 02:08:03.553052
108,CUST000108,Parvati,Malhotra,malhotra.parvati@rediffmail.com,+91-8047385483,1981-09-26,Female,electronic,2023-05-08,t,39,Email,2026-01-13 02:08:03.553058,2026-01-13 02:08:03.553059
109,CUST000109,Sara,Singh,sara.singh78@rediffmail.com,+91-9123030247,2003-08-21,Female,electronic,2024-02-18,t,91,Email,2026-01-13 02:08:03.553065,2026-01-13 02:08:03.553065
110,CUST000110,Saraswati,Bose,saraswatibose@gmail.com,+91-8461744198,1979-02-03,Female,electronic,2024-05-21,t,27,Email,2026-01-13 02:08:03.553072,2026-01-13 02:08:03.553072
201,CUST000201,Devesh,Pillai,pillai.devesh@hotmail.com,+91-9171325343,1965-03-05,Male,electronic,2023-07-17,t,18,Email,2026-01-13 02:08:03.553685,2026-01-13 02:08:03.553686
202,CUST000202,Aanya,Chatterjee,aanya.chatterjee@rediffmail.com,+91-7923517027,1989-09-23,Female,electronic,2023-07-18,t,72,Email,2026-01-13 02:08:03.553693,2026-01-13 02:08:03.553693
